experiment_group,dataset,method,n,test_accuracy_mean,test_accuracy_std,test_accuracy_ci95_low,test_accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,test_loss_mean,test_loss_std,test_loss_ci95_low,test_loss_ci95_high,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95_low,elapsed_seconds_ci95_high,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,early_stop_fraction
core,anisotropic,AR64-Momentum,10,0.80525,0.038952428251222894,0.7773851114454724,0.8331148885545276,0.8051307172312925,0.03883708126188285,0.7773483429421743,0.8329130915204107,0.8048745153622188,0.039002634895605834,0.7769737111379054,0.8327753195865322,0.4094960851197501,0.07171388353785924,0.358195063275699,0.4607971069638012,17.616420680005103,4.207885377784589,14.606280815399542,20.626560544610662,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,BP-Adam,10,0.79275,0.048382876906791925,0.7581389748731426,0.8273610251268573,0.7921095846299384,0.0490545879358386,0.757018046379624,0.8272011228802528,0.7921000518195715,0.0489568730824368,0.7570784145644557,0.8271216890746874,0.43996974536646627,0.08103388409265665,0.3820015967617256,0.4979378939712069,0.8227362900041044,0.12871326550974305,0.7306603666293989,0.9148122133788099,19.3,6.18331087147762,14.876725866215704,23.723274133784297,1.0
core,anisotropic,BP-MWBP,10,0.806,0.037475918193480555,0.7791913431120396,0.8328086568879605,0.8058793388778012,0.03736488631685705,0.7791501094095683,0.832608568346034,0.8056459864171414,0.037504450084035586,0.7788169190442316,0.8324750537900512,0.4089706202300528,0.07168793656788547,0.3576881597301619,0.46025308072994375,3.0402665199886543,0.6713373927313142,2.560020679850102,3.5205123601272064,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,BP-Momentum,10,0.80525,0.038141731301379975,0.7779650491072062,0.8325349508927938,0.8051403501788735,0.037998104222883605,0.777958143908569,0.8323225564491781,0.804885516872478,0.038175832492893476,0.7775761714568326,0.8321948622881234,0.40958335408000046,0.07176045729956111,0.35824901537387804,0.4609176927861229,1.3031753100047354,0.29870676366473686,1.089493363751739,1.5168572562577318,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,CAT40-Momentum,10,0.804,0.03982949772328155,0.7755076937416038,0.8324923062583963,0.803826140979309,0.039933915455868725,0.7752591387747988,0.8323931431838193,0.80362096708172,0.03991535422777411,0.7750672427799109,0.8321746913835292,0.4128126343105463,0.07465384857746515,0.3594084881720488,0.46621678044904385,16.44655970999738,3.4352135615463033,13.989155965200432,18.90396345479433,53.5,17.633616884928752,40.88567038381362,66.11432961618638,1.0
core,anisotropic,CAT64-MWBP,10,0.80625,0.037772160530092955,0.7792294241106978,0.8332705758893022,0.8061211133897557,0.03769337885639652,0.7791568945147975,0.8330853322647138,0.8058817508297367,0.03782094894065207,0.7788262738140088,0.8329372278454645,0.40893014224247526,0.07166579106048927,0.3576635236842368,0.4601967608007137,23.49674308999092,6.58903266779028,18.78323306730437,28.210253112677474,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,CAT64-MWBP-local,10,0.8047500000000001,0.04002516569470875,0.7761177213069625,0.8333822786930376,0.8045141802939367,0.04008194091133655,0.7758412870575956,0.8331870735302779,0.8043696852389608,0.04008665740327708,0.7756934180275379,0.8330459524503837,0.41058123054284296,0.07348352242207314,0.3580142853018639,0.463148175783822,25.979853959998582,7.184824384094138,20.84014021852342,31.119567701473745,52.6,18.845571245137556,39.11869046249557,66.08130953750444,1.0
core,anisotropic,CAT64-MWBP-local-EM,10,0.80625,0.037772160530092955,0.7792294241106978,0.8332705758893022,0.8061211133897557,0.03769337885639652,0.7791568945147975,0.8330853322647138,0.8058817508297367,0.03782094894065207,0.7788262738140088,0.8329372278454645,0.40874379517075693,0.07161565055873773,0.35751304496671615,0.4599745453747977,23.606604609993518,6.463223642007579,18.983092942736285,28.23011627725075,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,CAT64-Momentum,10,0.80525,0.03897025218747702,0.7773723609695812,0.8331276390304189,0.805138942719338,0.03882561646167724,0.7773647698542225,0.8329131155844534,0.8048861880005242,0.0389987085852902,0.7769881924894101,0.8327841835116384,0.40953872732705277,0.07173279201863564,0.3582241791706965,0.46085327548340904,23.166886000015076,4.360470900137564,20.047593028240478,26.286178971789674,53.3,19.154633904097462,39.59760035502548,67.00239964497452,1.0
core,anisotropic,DFA-Momentum,10,0.80425,0.04229607940853779,0.7739932074988712,0.8345067925011288,0.8039268775822054,0.0423635716871339,0.773621804013482,0.8342319511509287,0.803802829055798,0.042414527328974,0.7734613040167853,0.8341443540948108,0.4289546127400727,0.07817623892413099,0.3730307003415011,0.48487852513864427,1.6577986400108784,0.3872098118237765,1.3808054270562944,1.9347918529654624,84.6,27.87750985212911,64.65763080552145,104.54236919447854,0.9
