experiment_group,dataset,method,baseline,n_pairs,accuracy_difference_mean,loss_difference_mean,loss_difference_ci95_low,loss_difference_ci95_high,paired_effect_dz,method_better_loss_count,wilcoxon_loss_p,wilcoxon_loss_p_holm
core,anisotropic,FA-Momentum,BP-Momentum,10,-0.0029999999999999914,0.02771966459799056,0.01261812854400962,0.04516433192122274,0.9906920180538165,1,0.009765625,0.72265625
core,anisotropic,DFA-Momentum,BP-Momentum,10,-0.001000000000000012,0.019371258660072277,0.006789267638633326,0.028343216118648904,1.0335281349437206,1,0.037109375,1.0
core,anisotropic,LocalHead-Momentum,BP-Momentum,10,-0.018499999999999982,0.04507811448822289,0.019857679611184866,0.0751618683120805,0.9429555791794962,1,0.005859375,0.4453125
core,anisotropic,AR64-Momentum,BP-Momentum,10,2.2204460492503132e-17,-8.726896025034181e-05,-0.00036980389248408754,0.00018528881700829585,-0.1831465795254304,5,0.845703125,1.0
core,anisotropic,CAT40-Momentum,BP-Momentum,10,-0.0012499999999999955,0.0032292802305458057,-0.0007995803578882681,0.007448691132479831,0.4559643399819075,4,0.232421875,1.0
core,anisotropic,CAT64-Momentum,BP-Momentum,10,1.1102230246251566e-17,-4.462675294772955e-05,-0.00019919118883047424,0.0001050737032959489,-0.17049565938010602,5,0.845703125,1.0
core,anisotropic,BP-MWBP,BP-Momentum,10,0.0007500000000000174,-0.0006127338499477053,-0.0011722411364464343,-0.00017842775559198413,-0.6977664485227181,8,0.01953125,1.0
core,anisotropic,CAT64-Momentum,AR64-Momentum,10,-1.1102230246251566e-17,4.2642207302612253e-05,-7.976581253616637e-05,0.00016987063711415985,0.1985284117121898,5,0.845703125,1.0
core,anisotropic,CAT64-Momentum,CAT40-Momentum,10,0.0012500000000000067,-0.0032739069834935353,-0.007481305576697105,0.0007044967396824101,-0.4643544609207222,6,0.232421875,1.0
core,anisotropic,CAT64-MWBP,CAT64-Momentum,10,0.001000000000000012,-0.0006085850845775342,-0.001160515274833749,-0.00018303078120098743,-0.7046073913224978,8,0.01953125,1.0
core,anisotropic,CAT64-MWBP,CAT64-MWBP-local,10,0.0015000000000000124,-0.001651088300367709,-0.005228050439071973,0.00018954355342073095,-0.29429866855816506,4,0.322265625,1.0
core,anisotropic,CAT64-MWBP,CAT64-MWBP-local-EM,10,0.0,0.00018634707171831245,3.235508477790195e-05,0.000420082775156108,0.5260794942128352,3,0.037109375,1.0
core,breast_cancer,FA-Momentum,BP-Momentum,10,-0.006993006993007001,0.047787587499332054,0.026453401681363342,0.07096146619880739,1.2668257058678314,1,0.00390625,0.3203125
core,breast_cancer,DFA-Momentum,BP-Momentum,10,-0.004195804195804187,0.05928602968478837,0.03818849900447653,0.07885236996757598,1.709989442959045,1,0.00390625,0.3203125
core,breast_cancer,LocalHead-Momentum,BP-Momentum,10,-0.0055944055944055935,0.03836847132230213,0.02413142168184442,0.0512289798696521,1.660984641251825,1,0.00390625,0.3203125
core,breast_cancer,AR64-Momentum,BP-Momentum,10,0.0,3.911367636767055e-06,-3.644325372708292e-05,4.363233710081099e-05,0.056408071019890704,4,0.921875,1.0
core,breast_cancer,CAT40-Momentum,BP-Momentum,10,-0.0013986013986013956,0.0001112789843669762,-0.000385023486332655,0.0005984130962086982,0.13073778226904323,4,0.76953125,1.0
core,breast_cancer,CAT64-Momentum,BP-Momentum,10,0.0,2.555408078772081e-06,-1.9559207409820723e-05,2.419423903378986e-05,0.0676995395005134,4,0.845703125,1.0
core,breast_cancer,BP-MWBP,BP-Momentum,10,-0.0013986013986013956,0.00019143991404655669,-0.0002354191419648148,0.0006757892206426141,0.2448581324795113,4,0.6953125,1.0
