family,left,right,delta_loss_mean,delta_loss_std,wilcoxon_loss_p,delta_accuracy_mean,delta_accuracy_std,wilcoxon_accuracy_p
pullback,partial_3hop,local_output_only,0.003466346413315366,0.00519297956365237,0.083984375,-0.0016666666666666718,0.004892535116156645,0.5
pullback,full_reach,local_output_only,0.0044436769402228906,0.0065903358786276005,0.130859375,-0.0020000000000000018,0.004619989964300069,0.375
pullback,relaxed_10hop,instantaneous,0.0004835873597115084,0.0016787296465046913,0.921875,-0.0008888888888888835,0.0021468706290650825,0.5
gauge,transported_propagating,transported_local,-0.0010731900943245776,0.0014380181793801146,0.02734375,0.0006666666666666598,0.0021081851067788976,1.0
