dataset,rho_actual,lambda_min,lambda_max,mu,L,kappa,q_ar,q_cat,pred_iter_ratio,measured_ratio
anisotropic,0.8873192746814912,-0.4536350630930691,0.8873192746814912,0.1126807253185087,1.4536350630930692,13.067188730690358,0.8561921726340025,0.565172663708913,3.698712049015125,3.0388291517323776
breast_cancer,0.7663297232588596,-0.4003019428711261,0.7663297232588596,0.2336702767411403,1.4003019428711263,6.023093062958121,0.71457413297652,0.4206078305713975,2.58043360337423,2.086601307189542
circles,0.8037376905955876,-0.4121402441191819,0.8037376905955876,0.1962623094044123,1.412140244119182,7.179470383166208,0.7554471858316794,0.4564163503915053,2.797051321787999,2.3484848484848486
digits,0.6729521870561967,-0.3796547187141593,0.6729521870561967,0.3270478129438031,1.3796547187141592,4.222605792724348,0.6170404075365667,0.3453090174009584,2.202329383054402,1.8348214285714284
iris,0.815297036200642,-0.4165694786067119,0.815297036200642,0.184702963799358,1.416569478606712,7.957135710217488,0.769809329740152,0.4729848337161227,2.933080319882878,2.388888888888889
moons,0.8415986922415022,-0.4365724047552715,0.8415986922415022,0.1584013077584977,1.4365724047552717,9.0614341123943,0.801192684032298,0.5012537575763003,3.116115720028419,2.522774327122153
synthetic_large,0.694493418089625,-0.3823300199836232,0.694493418089625,0.305506581910375,1.3823300199836233,4.563497515844949,0.6405033508602562,0.362286971772787,2.27908891744122,1.875
wine,0.8095470648321006,-0.4173675274196419,0.8095470648321006,0.1904529351678993,1.417367527419642,7.445244275004635,0.7630943676819286,0.4635488340734285,2.8442254586786424,2.3590909090909093
