dataset,rho_cap,n_seeds,ar_test_accuracy,cat_test_accuracy,delta_accuracy,ar_test_loss,cat_test_loss,delta_loss,training_jtv_speedup,training_time_speedup,audit_rho_actual,audit_cat_bound_vs_ar_oracle_speedup,audit_cat_oracle_vs_ar_oracle_speedup,audit_cat_oracle_vs_cheb_oracle_ratio,audit_cat_bound_gradient_error_max,audit_cat_bound_gradient_cosine_min
cifar10,0.95,3,0.37283333333333335,0.37283333333333335,0.0,1.8114316535030737,1.811432443554362,7.900512884647289e-07,1.4012603943308402,1.3368356218842403,0.5182550394813712,0.4864864864864865,1.5643939393939394,1.0,9.989543701059892e-07,0.9999999999995368
mnist,0.95,3,0.9076666666666666,0.9076666666666666,0.0,0.3184397742532222,0.3184397830691291,8.815906911892787e-09,1.767801364821041,1.8289174819908016,0.6137689295833904,0.5732574679943101,1.6538461538461537,1.0,9.80611129961204e-07,0.9999999999995371
