dataset,median_rho_J,median_ar_oracle_over_cat_oracle
anisotropic,0.8873192699779688,3.0388291517323776
breast_cancer,0.7663297047129304,2.086601307189542
circles,0.8037376697733278,2.3484848484848486
digits,0.6729521788049602,1.8348214285714286
iris,0.815297037761541,2.388888888888889
moons,0.8415986970299156,2.5227743271221534
synthetic_large,0.6944934062983465,1.875
wine,0.8095470491025436,2.3590909090909093
