dataset,n_pairs,cat_wins,ties,ar_wins,median_jtv_speedup,speedup_ci_low,speedup_ci_high,wilcoxon_p_greater_1,mean_delta_accuracy,max_abs_delta_accuracy,median_cat_actual_rho,median_cat_recurrent_change,spearman_rho_speedup_vs_rho,spearman_p_speedup_vs_rho
breast_cancer,20,20,0,0,2.4379836461000672,2.331062312312312,2.493869730180744,9.5367431640625e-07,0.0,0.0,0.7635637513173967,0.014258334105770626,,
circles,20,20,0,0,1.5167983021460074,1.4680926485887444,1.5603448979819268,9.5367431640625e-07,0.0,0.0,0.5705594789690138,0.422757334667189,,
moons,20,20,0,0,2.194380990194497,2.051431823112064,2.377459312123478,9.5367431640625e-07,0.0,0.0,0.7640694617395173,0.12045576699748878,,
ALL,60,60,0,0,2.134764371250858,1.95990990990991,2.3011430823807646,8.147778971559672e-12,0.0,0.0,0.7237309085922896,0.12045576699748878,0.7173103639899974,1.1341240255524526e-10
