topology,problem,rho_requested,rho_actual,lambda_min,lambda_max,spectral_symmetry_error,ar_alpha_oracle,ar_alpha_bound,ar_alpha_relative_gap,exact_condition_number,bound_condition_number
asym_grid2d,linear,0.5,0.4999999999999997,-0.25,0.4999999999999997,0.2499999999999997,1.1428571428571426,1.0,0.12499999999999992,2.4999999999999996,3.0
asym_grid2d,linear,0.8,0.7999999999999999,-0.3999999999999999,0.7999999999999999,0.3999999999999999,1.25,1.0,0.19999999999999998,6.999999999999997,9.000000000000002
asym_grid2d,linear,0.9,0.9000000000000001,-0.4500000000000002,0.9000000000000001,0.4499999999999999,1.2903225806451613,1.0,0.22499999999999992,14.50000000000002,19.00000000000003
asym_grid2d,linear,0.95,0.9499999999999991,-0.47500000000000037,0.9499999999999991,0.4749999999999989,1.3114754098360646,1.0,0.23749999999999943,29.49999999999959,38.999999999999964
asym_grid2d,linear,0.98,0.9799999999999998,-0.4900000000000001,0.9799999999999998,0.4899999999999996,1.3245033112582778,1.0,0.2449999999999998,74.4999999999991,98.9999999999999
asym_grid2d,linear,0.99,0.9900000000000004,-0.495,0.9900000000000004,0.49500000000000044,1.3289036544850503,1.0,0.2475000000000002,149.5000000000082,198.9999999999998
asym_grid2d,tanh,0.5,0.4983661717450625,-0.24929713638641743,0.4983661717450625,0.24906903535864505,1.1422494944611739,1.0,0.12453451767932253,2.49045674087416,2.9987038883488957
asym_grid2d,tanh,0.8,0.7956818703822683,-0.39812787143152806,0.7956818703822683,0.3975539989507403,1.2480920124679666,1.0,0.1987769994753701,6.842926648248079,8.984321593939775
asym_grid2d,tanh,0.9,0.8921185901114324,-0.4466805766315892,0.8921185901114324,0.4454380134798431,1.286536371385762,1.0,0.22271900673992148,13.411803686790412,18.908957680910433
asym_grid2d,tanh,0.95,0.936320781719892,-0.46951631357188034,0.936320781719892,0.4668044681480114,1.3044694563090466,1.0,0.23340223407400568,23.202789735567055,38.43696741961546
asym_grid2d,tanh,0.98,0.9568338277138964,-0.48102233417606016,0.9568338277138964,0.47581149353783614,1.3122019777931697,1.0,0.23790574676891812,36.94923026793669,89.32395011088218
asym_grid2d,tanh,0.99,0.961298607773314,-0.4839370435453335,0.961298607773314,0.4773615642279804,1.3135609301415265,1.0,0.23868078211399024,45.45759927449177,157.5754936980844
grid2d,linear,0.5,0.5,-0.5,0.4999999999999997,2.7755575615628914e-16,1.0,1.0,0.0,2.9999999999999987,3.0
grid2d,linear,0.8,0.7999999999999999,-0.7999999999999999,0.7999999999999995,5.551115123125784e-16,0.9999999999999998,1.0,2.2204460492503136e-16,8.999999999999977,9.000000000000002
grid2d,linear,0.9,0.9000000000000004,-0.9000000000000004,0.9,3.3306690738754696e-16,0.9999999999999998,1.0,2.2204460492503136e-16,19.000000000000004,19.000000000000004
grid2d,linear,0.95,0.95,-0.95,0.9499999999999996,4.440892098500626e-16,0.9999999999999998,1.0,2.2204460492503136e-16,38.99999999999961,38.999999999999964
grid2d,linear,0.98,0.9800000000000006,-0.9800000000000006,0.9800000000000001,5.551115123125784e-16,0.9999999999999998,1.0,2.2204460492503136e-16,99.0000000000005,98.9999999999999
grid2d,linear,0.99,0.9899999999999999,-0.9899999999999995,0.9899999999999999,1.1102230246251563e-16,1.0,1.0,0.0,198.99999999999542,198.9999999999998
grid2d,tanh,0.5,0.4985574314697452,-0.4985574314697452,0.498557431469745,2.6645352591003756e-16,1.0,1.0,8.881784197001254e-17,2.9884931663349557,2.9991445409953537
grid2d,tanh,0.8,0.7959051831908163,-0.7959051831908159,0.7959051831908163,2.886579864025407e-16,1.0000000000000002,1.0,1.3322676295501876e-16,8.79953811980565,8.981913707761086
grid2d,tanh,0.9,0.8923627804424111,-0.8923627804424108,0.8923627804424109,3.9968028886505636e-16,1.0,1.0,1.7763568394002503e-16,17.58859067792951,18.902201950361963
grid2d,tanh,0.95,0.9367698051063147,-0.9367698051063146,0.9367698051063147,2.886579864025407e-16,1.0,1.0,1.3322676295501876e-16,30.813948664838485,38.348207978593464
grid2d,tanh,0.98,0.957373626238029,-0.9573736262380288,0.9573736262380285,6.439293542825908e-16,0.9999999999999997,1.0,3.5527136788005026e-16,48.08713581923478,95.03824622065734
grid2d,tanh,0.99,0.9612731221249341,-0.9612731221249335,0.9612731221249339,5.551115123125783e-16,1.0,1.0,3.108624468950438e-16,55.29947187289713,183.45353590851758
