method,alpha,beta,worst_root_on_actual_spectrum,worst_root_on_oracle_ellipse
CAT-real-interval,1.5240999447758006,0.5240999447758004,1.0299089878205057,1.036301915464656
CAT-ellipse-oracle,1.5836482467883013,0.3074773703302277,0.8781545933981337,0.8781545938707789
CAT-spectrum-oracle,1.5650407876632648,0.3166726807504109,0.8775680968211057,0.8833868131053327
degree2-ellipse-oracle,1.5836482468021773,0.3074773703440695,0.8781545934112287,0.8781545938678225
