dataset,rho_cap,n_seeds,ar_test_accuracy,cat_test_accuracy,delta_accuracy,ar_test_loss,cat_test_loss,delta_loss,training_jtv_speedup,training_time_speedup,audit_rho_actual,audit_cat_bound_vs_ar_oracle_speedup,audit_cat_oracle_vs_ar_oracle_speedup,audit_cat_oracle_vs_cheb_oracle_ratio,audit_cat_bound_gradient_error_max,audit_cat_bound_gradient_cosine_min
anisotropic,0.95,3,0.7875,0.7875,0.0,0.43548919686570975,0.4354898286290109,6.317633011176937e-07,3.2414720215089905,3.232825261508055,0.8873192699779688,2.391891891891892,3.0388291517323776,1.0312805474095796,9.87828653108941e-07,0.99999999999961
breast_cancer,0.95,3,0.9627039627039627,0.9627039627039627,0.0,0.10457289404019743,0.10457285464525336,-3.9394944070791915e-08,3.22361262241567,3.106317050864475,0.7663297047129304,0.9605263157894737,2.086601307189542,1.0,9.9873822817269e-07,0.9999999999995386
circles,0.95,3,0.9933333333333333,0.9933333333333333,0.0,0.1593021359374109,0.15929935165237305,-2.7842850378508497e-06,2.4598727935396267,2.4881633122316913,0.8037376697733278,1.3243243243243243,2.3484848484848486,1.0217391304347827,9.959657620223271e-07,0.9999999999995636
digits,0.95,3,0.9622222222222222,0.9622222222222222,0.0,0.15559331074633911,0.15559332155788952,1.0811550395691446e-08,1.9021447041525124,1.9959489825782675,0.6729521788049602,0.7236842105263157,1.8348214285714286,1.0,9.830089092623754e-07,0.9999999999995444
iris,0.95,3,0.956140350877193,0.956140350877193,0.0,0.22132832063530808,0.22132713351424427,-1.1871210638392249e-06,3.0083963056255243,2.8498412666855444,0.815297037761541,1.3556187766714083,2.388888888888889,1.0,9.791482246374466e-07,0.9999999999995256
moons,0.95,3,0.9266666666666667,0.9266666666666667,0.0,0.19990939586788647,0.19990771035938323,-1.6855085032315327e-06,3.1623091403472086,3.0524813664342445,0.8415986970299156,1.5562865497076022,2.5227743271221534,1.032795698924731,9.451661711305624e-07,0.9999999999996292
synthetic_large,0.95,3,0.7502222222222222,0.7502222222222222,0.0,0.838604019796818,0.8386040534515544,3.365473647913101e-08,1.8886873181584802,1.858983751066087,0.6944934062983465,0.8108108108108109,1.875,1.0,9.966592251913815e-07,0.9999999999995132
wine,0.95,3,0.9629629629629628,0.9629629629629628,0.0,0.0884336006926365,0.08843358537033456,-1.532230193187119e-08,2.530603630223723,2.5192807309870253,0.8095470491025436,1.3207681365576103,2.3590909090909093,1.0,9.689455205349842e-07,0.9999999999995348
